"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 11 03:41:51 UTC 2023","Mon Dec 11 03:42:37 UTC 2023","46234","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Mon Dec 11 02:59:52 UTC 2023","Mon Dec 11 03:00:09 UTC 2023","16436","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Dec 11 03:19:58 UTC 2023","Mon Dec 11 03:20:03 UTC 2023","4783","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Mon Dec 11 02:45:50 UTC 2023","Mon Dec 11 02:46:00 UTC 2023","9986","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Mon Dec 11 02:56:53 UTC 2023","Mon Dec 11 02:56:54 UTC 2023","1332","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Mon Dec 11 04:07:28 UTC 2023","Mon Dec 11 04:08:23 UTC 2023","55480","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Mon Dec 11 04:21:48 UTC 2023","Mon Dec 11 04:21:56 UTC 2023","8775","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Mon Dec 11 03:03:50 UTC 2023","Mon Dec 11 03:03:53 UTC 2023","3708","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Mon Dec 11 02:54:40 UTC 2023","Mon Dec 11 02:54:48 UTC 2023","7590","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Mon Dec 11 03:17:56 UTC 2023","Mon Dec 11 03:18:16 UTC 2023","19504","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Mon Dec 11 03:01:10 UTC 2023","Mon Dec 11 03:01:10 UTC 2023","374","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Mon Dec 11 02:47:53 UTC 2023","Mon Dec 11 02:48:03 UTC 2023","9788","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Mon Dec 11 02:50:00 UTC 2023","Mon Dec 11 02:50:10 UTC 2023","9528","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Mon Dec 11 03:01:07 UTC 2023","Mon Dec 11 03:01:10 UTC 2023","2565","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Mon Dec 11 03:15:19 UTC 2023","Mon Dec 11 03:15:20 UTC 2023","1250","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Mon Dec 11 04:04:35 UTC 2023","Mon Dec 11 04:04:42 UTC 2023","6919","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Mon Dec 11 03:47:18 UTC 2023","Mon Dec 11 03:47:21 UTC 2023","2972","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Mon Dec 11 04:06:01 UTC 2023","Mon Dec 11 04:06:03 UTC 2023","2152","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Mon Dec 11 03:58:48 UTC 2023","Mon Dec 11 03:58:50 UTC 2023","2364","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Mon Dec 11 02:42:03 UTC 2023","Mon Dec 11 02:42:21 UTC 2023","18430","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Mon Dec 11 04:00:43 UTC 2023","Mon Dec 11 04:00:44 UTC 2023","320","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Mon Dec 11 02:40:31 UTC 2023","Mon Dec 11 02:40:55 UTC 2023","23929","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Mon Dec 11 03:03:22 UTC 2023","Mon Dec 11 03:03:26 UTC 2023","4040","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Mon Dec 11 04:00:56 UTC 2023","Mon Dec 11 04:00:57 UTC 2023","906","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Mon Dec 11 02:50:10 UTC 2023","Mon Dec 11 02:50:15 UTC 2023","5049","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Mon Dec 11 03:41:49 UTC 2023","Mon Dec 11 03:41:51 UTC 2023","1629","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Mon Dec 11 03:47:32 UTC 2023","Mon Dec 11 03:47:47 UTC 2023","15237","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Mon Dec 11 03:41:10 UTC 2023","Mon Dec 11 03:41:21 UTC 2023","11024","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Mon Dec 11 03:58:50 UTC 2023","Mon Dec 11 03:58:55 UTC 2023","4225","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Mon Dec 11 02:46:31 UTC 2023","Mon Dec 11 02:46:38 UTC 2023","6672","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Mon Dec 11 02:53:50 UTC 2023","Mon Dec 11 02:54:06 UTC 2023","15985","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Dec 11 03:44:46 UTC 2023","Mon Dec 11 03:45:30 UTC 2023","44382","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
